Time (sec),RPM,Air Temp (F),Coolant Temp (F),TPS (%),MAP (psi),Battery Volt (V),Fuel Open Time (ms),Fuel Duty Cycle (%),Fuel Angle (deg),Digital Input #1,Digital Input #2,Digital Input #3,Digital Input #4,Digital Input #5,Digital Input #6,Digital Input #7,Digital Input #8, Oil PSI,Fuel PSI,Digital Output #1,Digital Output #2,Digital Output #3,Digital Output #4,Digital Output #5,Digital Output #6,Digital Output #7,Digital Output #8,Digital Output #9,Digital Output #10,Injector Over Current #1,Injector Over Current #2,Injector Over Current #3,Injector Over Current #4,Injector Over Current #5,Injector Over Current #6,Injector Over Current #7,Injector Over Current #8,Coil Over Current #1,Coil Over Current #2,Coil Over Current #3,Coil Over Current #4,Coil Over Current #5,Coil Over Current #6,Coil Over Current #7,Coil Over Current #8,System Temperature (F),Sensor Error,Open Time Clip,Charge Time Clip,Non Driven Wheel Speed #1 (MPH),Non Driven Wheel Speed #2 (MPH),Avg Non Driven Wheel Speed (MPH),Measured AFR #1,Measured AFR #2,Target AFR,Measured #1-Target (AFR),Measured #2-Target (AFR),Lambda/AFR Status,Lambda/AFR STF #1 (%),Lambda/AFR STF #2 (%),Lambda/AFR LTF (%),Fuel Status,Ignition Status,
97.153,9272,95.2,199.6,26.0,8.31,13.10,2.60,20.1,530.0,0,0,0,0,0,0,0,0,29.13,35.38,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,27.7,31.2,31.2,15.11,17.63,13.72,1.40,3.91,32768,100.0,100.0,88.1,0,0,
97.159,9266,95.2,199.6,26.0,8.38,13.10,2.68,20.7,530.0,0,0,0,0,0,0,0,0,32.82,38.19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,27.8,30.7,30.7,14.74,17.42,13.52,1.22,3.90,32768,100.0,100.0,89.3,0,0,
97.171,9226,95.2,199.6,26.0,8.24,13.10,2.78,21.4,530.0,1,1,0,0,0,0,0,0,32.13,37.25,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,28.0,30.3,30.3,14.46,17.04,13.26,1.21,3.78,32768,100.0,100.0,90.3,0,0,
97.182,9208,95.2,199.6,25.9,8.25,13.10,2.54,19.5,530.0,0,0,0,0,0,0,0,0,33.09,35.06,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,28.2,30.7,30.7,14.26,16.61,13.79,0.47,2.82,32768,100.0,100.0,86.7,0,0,
97.193,9178,95.2,199.6,25.9,8.28,13.10,2.53,19.4,530.0,1,0,0,0,0,0,0,0,32.45,36.38,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,28.8,31.1,31.1,14.07,16.52,13.74,0.32,2.78,32768,100.0,100.0,86.1,0,0,
97.205,9168,95.2,199.6,25.9,8.33,13.10,2.57,19.6,530.0,0,1,0,0,0,0,0,0,32.27,38.06,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,28.4,30.3,30.3,13.85,16.32,13.64,0.21,2.68,32768,100.0,100.0,86.3,0,0,
97.211,9170,95.2,199.6,25.9,8.35,13.10,2.64,20.2,530.0,0,1,0,0,0,0,0,0,34.45,37.25,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,28.4,30.5,30.5,13.79,16.04,13.45,0.34,2.59,32768,100.0,100.0,87.5,0,0,
97.221,9179,95.2,199.6,25.9,8.34,13.10,2.67,20.4,530.0,1,0,0,0,0,0,0,0,34.72,35.75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,28.2,31.5,31.5,13.70,16.11,13.36,0.34,2.75,32768,100.0,100.0,88.0,0,0,
97.232,9189,95.2,199.6,25.9,8.29,13.10,2.66,20.4,530.0,0,1,0,0,0,0,0,0,36.27,36.81,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,27.5,31.1,31.1,13.63,16.21,13.41,0.22,2.81,32768,100.0,100.0,88.1,0,0,
97.245,9198,95.2,199.6,25.9,8.38,13.10,2.60,19.9,530.0,1,1,0,0,0,0,0,0,34.77,38.56,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,27.8,31.0,31.0,13.66,16.21,13.60,0.06,2.62,32768,100.0,100.0,87.0,0,0,
97.251,9198,95.2,199.6,25.9,8.32,13.10,2.74,21.0,530.0,1,1,0,0,0,0,0,0,37.57,36.63,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,27.7,31.8,31.8,13.63,16.35,13.26,0.37,3.09,32768,100.0,100.0,89.3,0,0,
97.261,9206,95.2,199.6,25.9,8.09,13.10,2.65,20.3,530.0,1,0,0,0,0,0,0,0,38.09,34.94,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,28.4,31.0,31.0,13.58,16.46,13.48,0.10,2.98,32768,100.0,100.0,87.9,0,0,
97.272,9208,95.2,199.6,25.9,8.43,13.10,2.33,17.9,530.0,0,1,0,0,0,0,0,0,37.02,38.06,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,27.9,31.0,31.0,13.61,16.43,14.36,-0.75,2.07,32768,100.0,100.0,83.0,0,0,
97.283,9187,95.2,199.6,25.9,8.38,13.10,2.81,21.5,530.0,0,1,0,0,0,0,0,0,39.67,38.13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,27.9,30.5,30.5,13.63,16.36,13.07,0.56,3.29,32768,100.0,100.0,90.4,0,0,
97.293,9170,95.2,199.6,26.2,8.13,13.10,2.73,20.9,530.0,1,0,0,0,0,0,0,0,36.47,34.94,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,28.9,30.2,30.2,13.66,16.45,13.26,0.40,3.19,32768,100.0,100.0,89.1,0,0,
97.305,9116,95.2,199.6,26.8,8.47,13.10,2.34,17.8,530.0,1,1,0,0,0,0,0,0,37.15,34.81,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,28.6,31.1,31.1,13.66,16.42,14.21,-0.56,2.21,32768,100.0,100.0,82.1,0,0,
97.311,9113,95.2,199.6,27.7,8.45,13.10,2.81,21.3,530.0,1,1,0,0,0,0,0,0,36.50,37.56,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,29.0,30.9,30.9,13.70,16.23,12.91,0.79,3.32,32768,100.0,100.0,90.2,0,0,
97.323,9131,95.2,199.6,28.3,8.49,13.10,2.78,21.1,530.0,1,1,0,0,0,0,0,0,35.70,38.13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,29.0,31.4,31.4,13.72,16.29,12.98,0.74,3.31,32768,100.0,100.0,89.7,0,0,
97.333,9140,95.2,199.6,28.6,8.67,13.10,2.85,21.7,530.0,1,0,0,0,0,0,0,0,37.30,36.75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,29.0,31.6,31.6,13.67,16.26,12.83,0.84,3.43,32768,100.0,100.0,90.9,0,0,
97.345,9172,95.2,199.6,28.8,8.67,13.10,3.09,23.6,530.0,1,1,0,0,0,0,0,0,37.20,35.56,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,29.0,32.0,32.0,13.72,16.07,12.79,0.93,3.28,32768,100.0,100.0,92.8,0,0,
